"xA","xB","x01","x02","x03","x04","x05","x06","response_1"
"A1","B1",116.024308888129,67.221264983046,157.670934316386,106.913306104855,99.5067899432423,97.1657948339204,-0.871512448857896
"A1","B1",116.223285252208,67.2232228146599,150.469667115645,103.837297006471,97.9597204832898,97.834925188526,3.24318585878297
"A1","B1",120.009046832912,67.9941262091842,155.544374513344,105.165929588082,102.593829934574,96.8912340809894,4.47627039008332
"A1","B1",116.789899897638,67.587728008394,159.418997275504,107.162102573264,91.4153578522524,98.7163664258961,-0.020653803238275
"A1","B1",118.689005450727,66.9222420770885,154.851289665985,104.503671725411,107.615300837847,97.4162862268314,0.0647839435911728
"A1","B1",114.863617086715,66.5139143219559,150.640904877555,99.2812095397201,80.8925587701498,97.1689400014735,13.4678967674579
"A1","B1",114.810121740943,67.1496694872805,159.044740640788,103.21117345692,110.482071150202,97.6084130946054,3.52858262743569
"A1","B1",115.233987779217,66.9146196691384,157.302213852698,108.276786958145,109.450515004739,97.282310036295,0.335594515257235
"A1","B1",118.111932165017,65.9468180658978,161.761365813435,106.344692762868,90.8912631735825,97.5431960694384,12.0115062959774
"A1","B1",117.110723729677,66.9394215360885,160.962640241036,107.92558103191,109.896280172117,97.8217518195526,1.059166562544
"A1","B1",117.705850885034,66.2175763307545,155.578451961059,105.028677097711,91.9715927266108,97.3958583573005,4.2438507467147
"A1","B1",115.215935497413,66.1726622435378,153.764034254188,106.318123505727,98.9435698560402,97.5747619304706,5.34984835078192
"A1","B1",119.256441675584,66.4835712611332,156.848584948309,108.145716256111,113.810369474316,96.8674572032657,6.10928100804208
"A1","B1",116.146008816999,66.5894228790671,154.396042087507,106.031813839265,96.3849843959609,97.2388144654209,-0.0732553832510354
"A1","B1",117.962455549185,66.9036212287895,154.358851839014,101.743480422026,104.213330060465,97.8306602014275,-0.0884789072782972
"A1","B1",116.611745110877,66.5775883028901,153.483043577383,106.871971770561,86.9240633260555,97.6605647762034,2.56918947413819
"A1","B1",118.547398047139,66.8267081637766,156.574805679564,108.716042802692,105.404387937206,97.8204068103646,-0.588217935812051
